,accuracy,accuracies,permutation_specific_accuracies,best_ordering,sigma
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",84.61538461538461,"[74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 83.65384615384616, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 78.84615384615384, 76.92307692307693, 74.03846153846155, 74.03846153846155, 75.96153846153845, 77.88461538461539, 78.84615384615384, 80.76923076923077, 80.76923076923077, 80.76923076923077, 80.76923076923077]","[83.65384615384616, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 78.84615384615384, 76.92307692307693]","[{'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}]",-0.6
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",75.0,"[74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 60.57692307692307, 71.15384615384616, 71.15384615384616, 71.15384615384616, 71.15384615384616, 74.03846153846155, 75.0, 75.0, 74.03846153846155, 74.03846153846155, 74.03846153846155, 72.11538461538461, 70.1923076923077, 70.1923076923077, 70.1923076923077, 70.1923076923077, 71.15384615384616]","[59.61538461538461, 60.57692307692307, 71.15384615384616, 71.15384615384616, 71.15384615384616, 71.15384615384616, 74.03846153846155, 75.0, 75.0]","[{'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}]",0.8000000000000002
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",84.61538461538461,"[83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077]","[84.61538461538461, 84.61538461538461, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]","[{'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}]",-0.6
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",84.61538461538461,"[83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 83.65384615384616, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461, 83.65384615384616, 82.6923076923077, 79.8076923076923, 79.8076923076923, 75.96153846153845, 75.0, 75.0, 73.07692307692307, 73.07692307692307]","[59.61538461538461, 59.61538461538461, 83.65384615384616, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461]","[{'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}]",0.8000000000000002
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",84.61538461538461,"[84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 65.38461538461539, 71.15384615384616, 75.0, 77.88461538461539, 78.84615384615384, 80.76923076923077, 80.76923076923077, 84.61538461538461, 82.6923076923077, 80.76923076923077, 79.8076923076923, 75.96153846153845, 75.0, 75.0, 74.03846153846155, 74.03846153846155]","[59.61538461538461, 59.61538461538461, 65.38461538461539, 71.15384615384616, 75.0, 77.88461538461539, 78.84615384615384, 80.76923076923077, 80.76923076923077]","[{'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}]",-0.6
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",86.53846153846155,"[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 75.0, 77.88461538461539, 78.84615384615384, 78.84615384615384, 79.8076923076923, 77.88461538461539, 78.84615384615384, 59.61538461538461, 61.53846153846154, 78.84615384615384, 78.84615384615384, 78.84615384615384, 78.84615384615384, 80.76923076923077, 79.8076923076923, 78.84615384615384, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 83.65384615384616, 82.6923076923077, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539, 58.65384615384615, 58.65384615384615, 82.6923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 80.76923076923077, 76.92307692307693, 75.96153846153845, 74.03846153846155, 74.03846153846155, 85.57692307692307, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923, 79.8076923076923, 75.96153846153845, 78.84615384615384, 74.03846153846155, 78.84615384615384, 83.65384615384616, 83.65384615384616, 81.73076923076923, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539, 83.65384615384616, 81.73076923076923, 78.84615384615384, 78.84615384615384, 78.84615384615384, 79.8076923076923, 81.73076923076923, 79.8076923076923, 78.84615384615384, 59.61538461538461, 60.57692307692307, 81.73076923076923, 81.73076923076923, 82.6923076923077, 82.6923076923077, 80.76923076923077, 76.92307692307693, 75.96153846153845, 74.03846153846155, 71.15384615384616, 81.73076923076923, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077, 59.61538461538461, 63.46153846153846, 86.53846153846155, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]","[83.65384615384616, 82.6923076923077, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923, 79.8076923076923, 75.96153846153845, 78.84615384615384]","[{'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}]",-0.19999999999999996
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",84.61538461538461,"[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 75.0, 77.88461538461539, 78.84615384615384, 78.84615384615384, 79.8076923076923, 77.88461538461539, 78.84615384615384, 59.61538461538461, 61.53846153846154, 78.84615384615384, 78.84615384615384, 78.84615384615384, 78.84615384615384, 80.76923076923077, 79.8076923076923, 78.84615384615384, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 83.65384615384616, 83.65384615384616, 84.61538461538461, 82.6923076923077, 82.6923076923077, 79.8076923076923, 78.84615384615384, 77.88461538461539, 58.65384615384615, 57.692307692307686, 67.3076923076923, 75.0, 77.88461538461539, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 83.65384615384616, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 78.84615384615384, 76.92307692307693, 74.03846153846155, 74.03846153846155, 75.96153846153845, 77.88461538461539, 78.84615384615384, 80.76923076923077, 80.76923076923077, 80.76923076923077, 80.76923076923077, 82.6923076923077, 82.6923076923077, 80.76923076923077, 80.76923076923077, 80.76923076923077, 81.73076923076923, 79.8076923076923, 75.96153846153845, 78.84615384615384, 74.03846153846155, 76.92307692307693, 79.8076923076923, 83.65384615384616, 83.65384615384616, 83.65384615384616, 80.76923076923077, 77.88461538461539, 77.88461538461539, 83.65384615384616, 79.8076923076923, 79.8076923076923, 79.8076923076923, 79.8076923076923, 79.8076923076923, 81.73076923076923, 79.8076923076923, 78.84615384615384, 59.61538461538461, 59.61538461538461, 79.8076923076923, 82.6923076923077, 82.6923076923077, 81.73076923076923, 82.6923076923077, 78.84615384615384, 76.92307692307693, 76.92307692307693, 78.84615384615384, 75.0, 75.96153846153845, 78.84615384615384, 81.73076923076923, 80.76923076923077, 81.73076923076923, 81.73076923076923, 59.61538461538461, 66.34615384615384, 82.6923076923077, 79.8076923076923, 79.8076923076923, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923]","[82.6923076923077, 82.6923076923077, 80.76923076923077, 80.76923076923077, 80.76923076923077, 81.73076923076923, 79.8076923076923, 75.96153846153845, 78.84615384615384]","[{'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}]",-0.6
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",81.73076923076923,"[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 75.0, 77.88461538461539, 78.84615384615384, 78.84615384615384, 79.8076923076923, 77.88461538461539, 78.84615384615384, 59.61538461538461, 61.53846153846154, 78.84615384615384, 78.84615384615384, 78.84615384615384, 78.84615384615384, 80.76923076923077, 79.8076923076923, 78.84615384615384, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 62.5, 66.34615384615384, 69.23076923076923, 70.1923076923077, 69.23076923076923, 68.26923076923077, 70.1923076923077, 58.65384615384615, 57.692307692307686, 62.5, 63.46153846153846, 64.42307692307693, 64.42307692307693, 64.42307692307693, 68.26923076923077, 68.26923076923077, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 60.57692307692307, 71.15384615384616, 71.15384615384616, 71.15384615384616, 71.15384615384616, 74.03846153846155, 75.0, 75.0, 74.03846153846155, 74.03846153846155, 74.03846153846155, 72.11538461538461, 70.1923076923077, 70.1923076923077, 70.1923076923077, 70.1923076923077, 71.15384615384616, 59.61538461538461, 70.1923076923077, 73.07692307692307, 76.92307692307693, 78.84615384615384, 79.8076923076923, 78.84615384615384, 76.92307692307693, 77.88461538461539, 74.03846153846155, 73.07692307692307, 72.11538461538461, 76.92307692307693, 77.88461538461539, 75.96153846153845, 69.23076923076923, 68.26923076923077, 70.1923076923077, 59.61538461538461, 64.42307692307693, 76.92307692307693, 77.88461538461539, 77.88461538461539, 78.84615384615384, 81.73076923076923, 79.8076923076923, 78.84615384615384, 59.61538461538461, 58.65384615384615, 75.0, 74.03846153846155, 73.07692307692307, 72.11538461538461, 75.0, 75.0, 75.0, 75.96153846153845, 75.96153846153845, 77.88461538461539, 73.07692307692307, 66.34615384615384, 65.38461538461539, 64.42307692307693, 68.26923076923077, 68.26923076923077, 60.57692307692307, 76.92307692307693, 76.92307692307693, 74.03846153846155, 72.11538461538461, 72.11538461538461, 72.11538461538461, 70.1923076923077, 71.15384615384616]","[59.61538461538461, 70.1923076923077, 73.07692307692307, 76.92307692307693, 78.84615384615384, 79.8076923076923, 78.84615384615384, 76.92307692307693, 77.88461538461539]","[{'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}]",0.6000000000000002
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",84.61538461538461,"[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 83.65384615384616, 82.6923076923077, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539, 58.65384615384615, 58.65384615384615, 82.6923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 83.65384615384616, 83.65384615384616, 84.61538461538461, 82.6923076923077, 82.6923076923077, 79.8076923076923, 78.84615384615384, 77.88461538461539, 58.65384615384615, 57.692307692307686, 67.3076923076923, 75.0, 77.88461538461539, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 84.61538461538461, 82.6923076923077, 82.6923076923077, 83.65384615384616, 82.6923076923077, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539, 83.65384615384616, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 81.73076923076923, 78.84615384615384, 77.88461538461539, 84.61538461538461, 81.73076923076923, 82.6923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077, 58.65384615384615, 58.65384615384615, 82.6923076923077, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 81.73076923076923, 75.0, 76.92307692307693, 79.8076923076923, 81.73076923076923, 80.76923076923077, 81.73076923076923, 81.73076923076923, 58.65384615384615, 67.3076923076923, 80.76923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077]","[84.61538461538461, 82.6923076923077, 82.6923076923077, 83.65384615384616, 82.6923076923077, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539]","[{'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}]",-0.6
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",84.61538461538461,"[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 83.65384615384616, 82.6923076923077, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539, 58.65384615384615, 58.65384615384615, 82.6923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 62.5, 66.34615384615384, 69.23076923076923, 70.1923076923077, 69.23076923076923, 68.26923076923077, 70.1923076923077, 58.65384615384615, 57.692307692307686, 62.5, 63.46153846153846, 64.42307692307693, 64.42307692307693, 64.42307692307693, 68.26923076923077, 68.26923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 83.65384615384616, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461, 83.65384615384616, 82.6923076923077, 79.8076923076923, 79.8076923076923, 75.96153846153845, 75.0, 75.0, 73.07692307692307, 73.07692307692307, 59.61538461538461, 75.96153846153845, 83.65384615384616, 83.65384615384616, 81.73076923076923, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539, 81.73076923076923, 80.76923076923077, 75.0, 77.88461538461539, 81.73076923076923, 79.8076923076923, 70.1923076923077, 68.26923076923077, 70.1923076923077, 59.61538461538461, 57.692307692307686, 81.73076923076923, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077, 58.65384615384615, 59.61538461538461, 83.65384615384616, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461, 83.65384615384616, 81.73076923076923, 78.84615384615384, 74.03846153846155, 67.3076923076923, 65.38461538461539, 64.42307692307693, 68.26923076923077, 68.26923076923077, 58.65384615384615, 80.76923076923077, 77.88461538461539, 78.84615384615384, 75.96153846153845, 74.03846153846155, 75.0, 73.07692307692307, 73.07692307692307]","[59.61538461538461, 75.96153846153845, 83.65384615384616, 83.65384615384616, 81.73076923076923, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539]","[{'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}]",0.8000000000000002
