,accuracy,permutation_specific_accuracies,accuracies,best_ordering,sigma
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 58.82352941176471, 57.18954248366013, 57.18954248366013, 57.18954248366013, 56.5359477124183, 55.55555555555556, 54.57516339869281, 57.84313725490197]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.39869281045751, 63.725490196078425, 61.76470588235294, 61.43790849673203, 60.130718954248366, 60.78431372549019, 61.43790849673203, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 55.22875816993464, 62.41830065359477, 62.091503267973856, 61.111111111111114, 61.76470588235294, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 59.150326797385624, 61.76470588235294, 61.76470588235294, 63.0718954248366, 62.745098039215684, 62.745098039215684, 62.41830065359477, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 54.90196078431373, 63.0718954248366, 62.745098039215684, 63.725490196078425, 63.725490196078425, 63.39869281045751, 63.39869281045751, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.39869281045751, 64.37908496732027, 58.82352941176471, 57.84313725490197, 58.16993464052288, 60.45751633986928, 59.80392156862745, 59.80392156862745, 60.130718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 61.111111111111114, 59.47712418300654, 57.84313725490197, 58.16993464052288, 60.78431372549019, 59.47712418300654, 59.150326797385624, 59.47712418300654]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.39869281045751, 61.76470588235294, 59.150326797385624, 60.45751633986928, 61.111111111111114, 62.745098039215684, 62.41830065359477, 62.745098039215684, 62.745098039215684]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 53.59477124183007, 60.130718954248366, 61.111111111111114, 61.111111111111114, 62.091503267973856, 62.091503267973856, 63.0718954248366, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 60.78431372549019, 60.45751633986928, 62.41830065359477, 62.41830065359477, 61.76470588235294, 61.76470588235294, 61.76470588235294, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.307189542483655, 52.614379084967325, 62.41830065359477, 62.41830065359477, 62.091503267973856, 62.091503267973856, 61.76470588235294, 61.76470588235294, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[58.16993464052288, 60.45751633986928, 60.78431372549019, 58.16993464052288, 57.84313725490197, 58.16993464052288, 56.86274509803921, 57.18954248366013, 58.16993464052288]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 62.091503267973856, 59.150326797385624, 58.16993464052288, 58.82352941176471, 57.51633986928104, 56.86274509803921, 57.18954248366013, 57.84313725490197]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[57.84313725490197, 60.130718954248366, 58.496732026143796, 61.111111111111114, 61.76470588235294, 61.111111111111114, 60.78431372549019, 61.43790849673203, 61.111111111111114]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 57.18954248366013, 61.76470588235294, 61.76470588235294, 62.091503267973856, 62.091503267973856, 61.43790849673203, 61.111111111111114, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 60.78431372549019, 60.78431372549019, 61.76470588235294, 62.091503267973856, 61.76470588235294, 62.091503267973856, 62.41830065359477, 62.745098039215684]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.307189542483655, 55.22875816993464, 61.76470588235294, 62.091503267973856, 62.091503267973856, 61.111111111111114, 61.43790849673203, 62.41830065359477, 62.745098039215684]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 61.43790849673203, 75.16339869281046, 75.49019607843137, 70.91503267973856, 69.93464052287581, 65.359477124183, 63.725490196078425, 58.16993464052288]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 66.33986928104575, 61.76470588235294, 61.43790849673203, 62.091503267973856, 61.43790849673203, 60.78431372549019, 59.80392156862745, 57.18954248366013]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.01307189542483, 64.70588235294117, 64.05228758169935, 63.0718954248366, 62.41830065359477, 59.47712418300654, 58.496732026143796, 58.496732026143796, 56.209150326797385]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 70.26143790849673, 71.89542483660131, 67.97385620915033, 67.64705882352942, 65.0326797385621, 63.0718954248366, 63.0718954248366, 60.130718954248366]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[64.05228758169935, 60.78431372549019, 63.725490196078425, 64.37908496732027, 64.05228758169935, 62.091503267973856, 59.80392156862745, 60.45751633986928, 59.47712418300654]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.41830065359477, 60.78431372549019, 73.52941176470588, 75.16339869281046, 74.50980392156863, 74.50980392156863, 75.16339869281046, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 61.43790849673203, 74.18300653594771, 75.49019607843137, 75.81699346405229, 76.47058823529412, 75.49019607843137, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.745098039215684, 64.70588235294117, 75.81699346405229, 76.1437908496732, 77.12418300653596, 77.12418300653596, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 55.55555555555556, 74.83660130718954, 75.49019607843137, 76.1437908496732, 76.47058823529412, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 60.130718954248366, 75.16339869281046, 75.49019607843137, 76.79738562091504, 77.12418300653596, 76.1437908496732, 76.47058823529412, 76.1437908496732]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.307189542483655, 55.55555555555556, 76.1437908496732, 75.16339869281046, 76.79738562091504, 77.45098039215686, 76.1437908496732, 76.1437908496732, 75.81699346405229]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 66.66666666666666, 58.82352941176471, 58.82352941176471, 58.82352941176471, 60.78431372549019, 59.80392156862745, 59.80392156862745, 60.130718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.01307189542483, 64.05228758169935, 59.80392156862745, 58.16993464052288, 58.16993464052288, 60.78431372549019, 59.47712418300654, 59.150326797385624, 59.47712418300654]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.745098039215684, 67.3202614379085, 64.37908496732027, 62.091503267973856, 62.745098039215684, 64.05228758169935, 63.0718954248366, 62.091503267973856, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 56.209150326797385, 66.66666666666666, 62.091503267973856, 62.41830065359477, 63.725490196078425, 63.725490196078425, 62.745098039215684, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.359477124183, 59.80392156862745, 61.43790849673203, 62.745098039215684, 62.41830065359477, 61.76470588235294, 61.76470588235294, 61.76470588235294, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 58.16993464052288, 66.01307189542483, 65.0326797385621, 64.05228758169935, 63.39869281045751, 62.41830065359477, 61.76470588235294, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 68.30065359477125, 62.41830065359477, 59.150326797385624, 58.16993464052288, 57.84313725490197, 57.18954248366013, 57.51633986928104, 58.16993464052288]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.0326797385621, 58.16993464052288, 59.47712418300654, 58.496732026143796, 58.82352941176471, 57.51633986928104, 56.86274509803921, 57.18954248366013, 57.84313725490197]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 65.68627450980392, 71.56862745098039, 68.95424836601308, 67.97385620915033, 68.30065359477125, 69.6078431372549, 68.30065359477125, 68.30065359477125]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 59.80392156862745, 75.49019607843137, 72.54901960784314, 69.93464052287581, 70.26143790849673, 70.91503267973856, 69.28104575163398, 68.95424836601308]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.359477124183, 56.86274509803921, 60.130718954248366, 62.091503267973856, 62.091503267973856, 61.76470588235294, 62.091503267973856, 62.41830065359477, 62.745098039215684]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 59.47712418300654, 62.41830065359477, 63.0718954248366, 64.05228758169935, 62.745098039215684, 62.745098039215684, 62.41830065359477, 62.745098039215684]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 65.0326797385621, 68.62745098039215, 67.97385620915033, 67.97385620915033, 68.30065359477125, 67.64705882352942, 66.66666666666666, 67.97385620915033]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 66.33986928104575, 63.39869281045751, 62.745098039215684, 61.76470588235294, 61.76470588235294, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.68627450980392, 59.150326797385624, 62.41830065359477, 62.091503267973856, 61.111111111111114, 61.76470588235294, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 65.0326797385621, 66.99346405228758, 66.01307189542483, 65.68627450980392, 64.70588235294117, 63.725490196078425, 63.39869281045751, 62.091503267973856]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.359477124183, 56.86274509803921, 63.0718954248366, 62.745098039215684, 63.725490196078425, 63.725490196078425, 63.39869281045751, 63.39869281045751, 61.76470588235294]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 62.745098039215684, 75.16339869281046, 74.83660130718954, 75.16339869281046, 75.49019607843137, 74.50980392156863, 74.18300653594771, 73.8562091503268]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 61.43790849673203, 75.16339869281046, 74.83660130718954, 74.83660130718954, 74.50980392156863, 73.52941176470588, 73.52941176470588, 73.52941176470588]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 63.39869281045751, 74.83660130718954, 75.49019607843137, 76.47058823529412, 76.47058823529412, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 61.76470588235294, 74.18300653594771, 75.49019607843137, 76.1437908496732, 76.47058823529412, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[58.496732026143796, 62.091503267973856, 75.49019607843137, 75.81699346405229, 76.79738562091504, 76.1437908496732, 75.49019607843137, 75.49019607843137, 75.81699346405229]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 62.091503267973856, 75.49019607843137, 75.16339869281046, 76.79738562091504, 77.45098039215686, 76.1437908496732, 76.1437908496732, 75.81699346405229]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 69.6078431372549, 63.725490196078425, 63.725490196078425, 63.725490196078425, 64.05228758169935, 64.05228758169935, 63.725490196078425, 63.725490196078425]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.68627450980392, 60.130718954248366, 60.78431372549019, 61.111111111111114, 61.111111111111114, 62.091503267973856, 62.091503267973856, 63.0718954248366, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 66.99346405228758, 64.37908496732027, 61.111111111111114, 62.091503267973856, 63.725490196078425, 63.725490196078425, 62.745098039215684, 63.39869281045751]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 63.39869281045751, 66.33986928104575, 61.76470588235294, 62.41830065359477, 63.725490196078425, 63.725490196078425, 62.745098039215684, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[63.725490196078425, 60.45751633986928, 63.0718954248366, 62.745098039215684, 62.745098039215684, 62.745098039215684, 62.091503267973856, 61.76470588235294, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 65.0326797385621, 66.33986928104575, 65.0326797385621, 64.05228758169935, 63.39869281045751, 62.41830065359477, 61.76470588235294, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[58.496732026143796, 68.30065359477125, 68.95424836601308, 66.33986928104575, 65.68627450980392, 65.0326797385621, 64.37908496732027, 63.39869281045751, 63.725490196078425]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[63.0718954248366, 58.496732026143796, 62.745098039215684, 62.41830065359477, 62.41830065359477, 62.091503267973856, 61.43790849673203, 61.111111111111114, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[58.496732026143796, 66.01307189542483, 72.87581699346404, 68.95424836601308, 68.30065359477125, 68.95424836601308, 69.93464052287581, 68.62745098039215, 68.62745098039215]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 67.3202614379085, 74.50980392156863, 71.56862745098039, 69.6078431372549, 70.26143790849673, 70.91503267973856, 69.28104575163398, 68.95424836601308]",,,
